#Date of last update:
Date,2017-04-23 23:19:24.700777
#taxon id,CITES species,CITES description,taxon species,CITES appendix
57980,Alopias superciliosus,"Appendix II:Entry into effect delayed by 12 months, i.e. until 4 October 2017 ","Alopias superciliosus",2
7852,Alopias vulpinus,"Appendix II:Entry into effect delayed by 12 months, i.e. until 4 October 2017 ","Alopias vulpinus",2
9499,Alouatta,"Appendix II: ","Alouatta",1
9499,Alouatta,"Appendix II: ","Alouatta",2
30590,Alouatta belzebul,"Appendix II: ","Alouatta belzebul",2
9502,Alouatta caraya,"Appendix II: ","Alouatta caraya",2
182256,Alouatta guariba,"Appendix II: ","Alouatta guariba",2
30589,Alouatta palliata,"Appendix I: ","Alouatta palliata",1
182253,Alouatta pigra,"Appendix I: ","Alouatta pigra",1
121123,Alouatta sara,"Appendix II: ","Alouatta sara",2
9503,Alouatta seniculus,"Appendix II: ","Alouatta seniculus",2
1539428,Altiphrynoides,"Appendix I:Formerly included in <i>Nectophrynoides</i> spp. ","Altiphrynoides",1
130075,Alveopora,"Appendix II:Excludes fossils. ","Alveopora",2
1455030,Alveopora allingi,"Appendix II:Excludes fossils. ","Alveopora allingi",2
1455031,Alveopora catalai,"Appendix II:Excludes fossils. ","Alveopora catalai",2
1455032,Alveopora excelsa,"Appendix II:Excludes fossils. ","Alveopora excelsa",2
979799,Alveopora japonica,"Appendix II:Excludes fossils. ","Alveopora japonica",2
1455033,Alveopora spongiosa,"Appendix II:Excludes fossils. ","Alveopora spongiosa",2
1455034,Alveopora tizardi,"Appendix II:Excludes fossils. ","Alveopora tizardi",2
1455035,Alveopora verrilliana,"Appendix II:Excludes fossils. ","Alveopora verrilliana",2
247730,Amandava formosa,"Appendix II: ","Amandava formosa",2
57391,Amazilia,"Appendix II: ","Amazilia",2
472773,Amazilia amabilis,"Appendix II: ","Amazilia amabilis",2
688842,Amazilia amazilia,"Appendix II: ","Amazilia amazilia",2
501319,Amazilia beryllina,"Appendix II: ","Amazilia beryllina",2
1118500,Amazilia brevirostris,"Appendix II: ","Amazilia brevirostris",2
1162386,Amazilia candida,"Appendix II: ","Amazilia candida",2
1507329,Amazilia castaneiventris,"Appendix II: ","Amazilia castaneiventris",2
304600,Amazilia chionogaster,"Appendix II: ","Amazilia chionogaster",2
1290859,Amazilia cyanocephala,"Appendix II: ","Amazilia cyanocephala",2
1315731,Amazilia cyanura,"Appendix II: ","Amazilia cyanura",2
1118504,Amazilia edward,"Appendix II: ","Amazilia edward",2
472770,Amazilia fimbriata,"Appendix II: ","Amazilia fimbriata",2
472774,Amazilia franciae,"Appendix II: ","Amazilia franciae",2
688843,Amazilia lactea,"Appendix II: ","Amazilia lactea",2
1118501,Amazilia leucogaster,"Appendix II: ","Amazilia leucogaster",2
1665410,Amazilia rondoniae,"Appendix II: ","Amazilia rondoniae",2
688844,Amazilia rosenbergi,"Appendix II: ","Amazilia rosenbergi",2
472777,Amazilia rutila,"Appendix II: ","Amazilia rutila",2
